Movie Name,Year of Release,Duration,Genre,Certificate,Movie Rating,Description,Director,Stars,Votes,Gross,processed_description,description_sentiment
Phantom Carriage,1921,107.0,Drama Fantasy Horror            ,Not Rated,8.0,"New Year 's Eve , driver ghostly carriage force drunken man reflect selfish , wasted life .",Victor Sjöström,Victor Sjstrm,13783,0.0,on new years eve the driver of a ghostly carriage forces a drunken man to reflect on his selfish wasted life,low negative
"Dr. Mabuse , Gambler",1922,242.0,Crime Mystery Thriller            ,Not Rated,7.8,Arch-criminal Dr. Mabuse set make fortune run Berlin . Detective Wenk set stop .,Fritz Lang,Rudolf KleinRogge,9048,0.0,archcriminal dr mabuse sets out to make a fortune and run berlin detective wenk sets out to stop him,neutral
Häxan,1922,91.0,Documentary Fantasy Horror            ,Not Rated,7.6,"Fictionalized documentary showing evolution witchcraft , pagan root confusion hysteria Eastern Europe .",Benjamin Christensen,Benjamin Christensen,16296,0.0,fictionalized documentary showing the evolution of witchcraft from its pagan roots to its confusion with hysteria in eastern europe,neutral
Nanook North,1922,78.0,Documentary            ,Passed,7.6,"silent predecessor modern documentary , film-maker Robert J. Flaherty spends one year following life Nanook family , Inuits living Arctic Circle .",Robert J. Flaherty,Allakariallak,13234,0.0,in this silent predecessor to the modern documentary filmmaker robert j flaherty spends one year following the lives of nanook and his family inuits living in the arctic circle,low positive
Hospitality,1923,65.0,Comedy Romance Thriller            ,Passed,7.8,"man return Appalachian homestead . trip , fall young woman . problem family vowed kill every member family .","John G. Blystone, Buster Keaton",Buster Keaton,12285,1.17,a man returns to his appalachian homestead on the trip he falls for a young woman the only problem is her family has vowed to kill every member of his family,low positive
Wheel,1923,417.0,Drama            ,Not Rated,7.5,"railway engineer adopts young girl orphaned train crash . Years later start getting suitor , grapple whether tell truth parentage .",Abel Gance,Gabriel de Gravone,2504,0.0,a railway engineer adopts a young girl orphaned by a train crash years later when she starts getting suitors he grapples with whether or not to tell her the truth about her parentage,low positive
Safety Last !,1923,74.0,Action Comedy Thriller            ,Not Rated,8.1,boy leaf small country town head big city get job . soon make big sweetheart join marry . enthusiasm get ahead lead interesting adventure .,"Fred C. Newmeyer, Sam Taylor",Harold Lloyd,22427,1.36,a boy leaves his small country town and heads to the big city to get a job as soon as he makes it big his sweetheart will join him and marry him his enthusiasm to get ahead leads to some interesting adventures,low positive
Great White Silence,1922,80.0,Documentary            ,R,8.0,"1910 British Antarctic Expedition , led Capt . Robert F. Scott , embarks Lyttleton , NZ quest become first reach South Pole .",Herbert G. Ponting,Robert Falcon Scott,1582,0.0,in 1910 the british antarctic expedition led by capt robert f scott embarks from lyttleton nz on a quest to become the first to reach the south pole,low positive
Greed,1924,140.0,Drama Thriller Western            ,Not Rated,8.0,sudden fortune lottery fan destructive greed ruin life three people involved .,Erich von Stroheim,Gibson Gowland,10603,0.16,the sudden fortune won from a lottery fans such destructive greed that it ruins the lives of the three people involved,low negative
Iron Horse,1924,150.0,Drama History Romance            ,Passed,7.2,"witnessing murder father renegade boy , grown-up Brandon help realize father 's dream transcontinental railway .",John Ford,George OBrien,2397,2.06,after witnessing the murder of his father by a renegade as a boy the grownup brandon helps to realize his fathers dream of a transcontinental railway,neutral
Last Laugh,1924,90.0,Drama            ,Not Rated,8.0,"aging doorman forced face scorn friend , neighbor society fired prestigious job luxurious hotel .",F.W. Murnau,Emil Jannings,14969,0.09,an aging doorman is forced to face the scorn of his friends neighbors and society after being fired from his prestigious job at a luxurious hotel,low negative
Navigator,1924,59.0,Action Comedy Romance            ,Unrated,7.6,Two spoiled rich people find trapped empty passenger ship .,"Donald Crisp, Buster Keaton",Buster Keaton,10860,1.48,two spoiled rich people find themselves trapped on an empty passenger ship,low positive
Sherlock Jr .,1924,45.0,Action Comedy Romance            ,Passed,8.2,"film projectionist longs detective , put meagre skill work framed rival stealing girlfriend 's father 's pocketwatch .",Buster Keaton,Buster Keaton,55285,0.98,a film projectionist longs to be a detective and puts his meagre skills to work when he is framed by a rival for stealing his girlfriends fathers pocketwatch,neutral
Thief Bagdad,1924,155.0,Adventure Family Fantasy            ,Not Rated,7.7,recalcitrant thief vies duplicitous Mongol ruler hand beautiful princess .,Raoul Walsh,Douglas Fairbanks,6836,4.36,a recalcitrant thief vies with a duplicitous mongol ruler for the hand of a beautiful princess,high positive
Battleship Potemkin,1925,66.0,Drama History Thriller            ,Not Rated,7.9,"midst Russian Revolution 1905 , crew battleship Potemkin mutiny brutal , tyrannical regime vessel 's officer . resulting street demonstration Odessa brings police massacre .",Sergei Eisenstein,Aleksandr Antonov,60707,0.05,in the midst of the russian revolution of 1905 the crew of the battleship potemkin mutiny against the brutal tyrannical regime of the vessels officers the resulting street demonstration in odessa brings on a police massacre,low negative
Ben-Hur : Tale Christ,1925,143.0,Action Adventure Drama            ,Not Rated,7.8,Jewish prince seek find family revenge upon childhood friend wrongly imprisoned .,"Fred Niblo, Charles Brabin, Christy Cabanne, J.J. Cohn, Rex Ingram",Ramon Novarro,7884,12.45,a jewish prince seeks to find his family and revenge himself upon his childhood friend who had him wrongly imprisoned,low negative
Big Parade,1925,151.0,Drama Romance War            ,Not Rated,7.9,young American soldier witness horror Great War .,"King Vidor, George W. Hill",John Gilbert,7153,11.0,a young american soldier witnesses the horrors of the great war,low positive
Freshman,1925,77.0,Comedy Family Romance            ,Not Rated,7.5,nerdy college student anything become popular campus .,"Fred C. Newmeyer, Sam Taylor",Harold Lloyd,5968,0.0,a nerdy college student will do anything to become popular on campus,high positive
Gold Rush,1925,95.0,Adventure Comedy Drama            ,Passed,8.1,"prospector go Klondike 1890s gold rush hope making fortune , smitten girl see dance hall .",Charles Chaplin,Charles Chaplin,116966,5.45,a prospector goes to the klondike during the 1890s gold rush in hopes of making his fortune and is smitten with a girl he sees in a dance hall,neutral
Phantom Opera,1925,93.0,Horror            ,Passed,7.5,"mad , disfigured composer seek love lovely young opera singer .","Rupert Julian, Lon Chaney, Ernst Laemmle, Edward Sedgwick",Lon Chaney,19854,3.75,a mad disfigured composer seeks love with a lovely young opera singer,low positive
Seven Chances,1925,56.0,Comedy Romance            ,Passed,7.8,man learns inherit fortune marries 7PM evening .,Buster Keaton,Buster Keaton,11518,0.21,a man learns that he will inherit a fortune if he marries by 7pm that evening,neutral
Strike,1925,82.0,Drama            ,Not Rated,7.6,group oppressed factory worker go strike pre-revolutionary Russia .,Sergei Eisenstein,Grigoriy Aleksandrov,8489,0.0,a group of oppressed factory workers go on strike in prerevolutionary russia,neutral
Adventures Prince Achmed,1926,80.0,Animation Adventure Family            ,Not Rated,7.8,"handsome prince ride flying horse faraway land embarks magical adventure , include befriending witch , meeting Aladdin , battling demon falling love princess .",Lotte Reiniger,Carl Koch,6724,0.0,a handsome prince rides a flying horse to faraway lands and embarks on magical adventures which include befriending a witch meeting aladdin battling demons and falling in love with a princess,high positive
General,1926,78.0,Action Adventure Comedy            ,Passed,8.1,"rejected Confederate military , realizing due crucial civilian role , engineer must single-handedly recapture beloved locomotive seized Union spy return enemy line .","Clyde Bruckman, Buster Keaton",Buster Keaton,96661,1.03,after being rejected by the confederate military not realizing it was due to his crucial civilian role an engineer must singlehandedly recapture his beloved locomotive after it is seized by union spies and return it through enemy lines,low positive
Jazz Singer,1927,88.0,Drama Music Musical            ,Passed,6.4,son Jewish Cantor must defy tradition religious father order pursue dream becoming jazz singer .,Alan Crosland,Al Jolson,10877,7.63,the son of a jewish cantor must defy the traditions of his religious father in order to pursue his dream of becoming a jazz singer,low positive
Frankenstein,1931,70.0,Drama Horror Sci-Fi            ,Passed,7.8,Dr Henry Frankenstein obsessed assembling living part several exhumed corps .,James Whale,Colin Clive,78502,0.0,dr henry frankenstein is obsessed with assembling a living being from parts of several exhumed corpses,low negative
Dracula,1931,75.0,Drama Fantasy Horror            ,Passed,7.4,"Transylvanian vampire Count Dracula bend naive real estate agent , take residence London estate sleep coffin day search potential victim night .","Tod Browning, Karl Freund",Bela Lugosi,57644,0.0,transylvanian vampire count dracula bends a naive real estate agent to his will then takes up residence at a london estate where he sleeps in his coffin by day and searches for potential victims by night,low negative
Dr. Jekyll Mr. Hyde,1931,98.0,Horror Sci-Fi            ,Passed,7.6,Dr. Jekyll face horrible consequence let dark side run wild potion transforms animalistic Mr. Hyde .,Rouben Mamoulian,Fredric March,15531,2.79,dr jekyll faces horrible consequences when he lets his dark side run wild with a potion that transforms him into the animalistic mr hyde,low negative
City Lights,1931,87.0,Comedy Drama Romance            ,G,8.5,"aid wealthy erratic tippler , dewy-eyed tramp fallen love sightless flower girl accumulates money able help medically .",Charles Chaplin,Charles Chaplin,193260,0.02,with the aid of a wealthy erratic tippler a dewyeyed tramp who has fallen in love with a sightless flower girl accumulates money to be able to help her medically,low positive
La Chienne,1931,95.0,Crime Drama            ,Not Rated,7.5,"Maurice Legrand , meek cashier married nagging wife , secret passion : 's Sunday painter . fall love Lulu , young woman dominated Dédé , pimp work . Dédé push Lulu relationship .",Jean Renoir,Michel Simon,4756,0.0,maurice legrand a meek cashier married to a nagging wife has a secret passion hes a sunday painter he falls in love with lulu a young woman dominated by dédé the pimp who she works for dédé pushes lulu into a relationship with him,low positive
Champ,1931,86.0,Drama Family Sport            ,Passed,7.2,alcoholic ex-boxer struggle provide good living son .,King Vidor,Wallace Beery,3532,0.0,an alcoholic exboxer struggles to provide a good living for his son,low positive
Roofs Paris,1930,96.0,Comedy Drama Musical            ,Not Rated,7.1,"Albert smitten Pola end wrongly committed jail , meantime affection sought friend , release love friendship must tested .",René Clair,Albert Prjean,2451,0.0,albert is smitten for pola but ends up wrongly committed in jail in the meantime her affections are sought after by his friend and on his release both love and friendship must be tested,low negative
Little Caesar,1931,79.0,Action Crime Drama            ,Not Rated,7.2,small-time criminal move big city seek bigger fortune .,Mervyn LeRoy,Edward G. Robinson,14250,0.0,a smalltime criminal moves to a big city to seek bigger fortune,low negative
Hell 's Angels,1930,127.0,Drama War            ,Passed,7.3,Brothers Monte Ray leave Oxford join Royal Flying Corps . Ray love Helen ; Helen enjoys affair Monte ; leave mission Germany find still another man 's arm .,"Howard Hughes, Edmund Goulding, James Whale",Ben Lyon,5825,5.45,brothers monte and ray leave oxford to join the royal flying corps ray loves helen helen enjoys an affair with monte before they leave on their mission over germany they find her in still another mans arms,neutral
Earth,1930,75.0,Drama            ,Unrated,7.2,"peaceful countryside , Vassily opposes rich kulaks coming collective farming .",Aleksandr Dovzhenko,Stepan Shkurat,6286,0.0,in the peaceful countryside vassily opposes the rich kulaks over the coming of collective farming,low positive
Der blaue Engel,1930,104.0,Drama Music            ,Passed,7.7,elderly professor 's ordered life spin dangerously control fall nightclub singer .,Josef von Sternberg,Emil Jannings,16096,0.08,an elderly professors ordered life spins dangerously out of control when he falls for a nightclub singer,high negative
Animal Crackers,1930,97.0,Comedy Family Musical            ,G,7.4,Mayhem zaniness ensue valuable painting go missing party honor famed African explorer Captain Spaulding .,Victor Heerman,Groucho Marx,15116,0.91,mayhem and zaniness ensue when a valuable painting goes missing during a party in honor of famed african explorer captain spaulding,low negative
Quiet Western Front,1930,152.0,Drama War            ,Passed,8.1,"German youth eagerly enters World War , enthusiasm wane get firsthand view horror .",Lewis Milestone,Lew Ayres,66826,3.27,a german youth eagerly enters world war i but his enthusiasm wanes as he gets a firsthand view of the horror,neutral
Golden Age,1930,63.0,Comedy Drama            ,Not Rated,7.2,"surrealist tale man woman passionately love , attempt consummate passion constantly thwarted family , Church , bourgeois society .",Luis Buñuel,Gaston Modot,14641,0.03,a surrealist tale of a man and a woman who are passionately in love with each other but their attempts to consummate that passion are constantly thwarted by their families the church and bourgeois society,low positive
Pandora 's Box,1929,109.0,Crime Drama Romance            ,Not Rated,7.8,rise inevitable fall amoral naive young woman whose insouciant eroticism inspires lust violence around .,Georg Wilhelm Pabst,Louise Brooks,11636,0.01,the rise and inevitable fall of an amoral but naive young woman whose insouciant eroticism inspires lust and violence in those around her,low negative
Man Movie Camera,1929,68.0,Documentary            ,Not Rated,8.3,"man travel around city camera slung shoulder , documenting urban life dazzling invention .",Dziga Vertov,Mikhail Kaufman,27464,0.0,a man travels around a city with a camera slung over his shoulder documenting urban life with dazzling invention,low positive
Andalusian Dog,1929,16.0,Short Fantasy Horror            ,Not Rated,7.6,"Luis Buñuel Salvador Dalí present 16 minute bizarre , surreal imagery .",Luis Buñuel,Pierre Batcheff,53072,0.0,luis buñuel and salvador dalí present 16 minutes of bizarre surreal imagery,low positive
Wind,1928,95.0,Drama Romance Thriller            ,Not Rated,8.0,"frail young woman East move cousin West , cause tension within family slowly driven mad .",Victor Sjöström,Lillian Gish,7029,0.0,a frail young woman from the east moves in with her cousin in the west where she causes tension within the family and is slowly driven mad,low negative
Storm Asia,1928,74.0,Drama War            ,R,7.0,"run-in law , Mongolian man becomes fugitive join Russian Civil War .",Vsevolod Pudovkin,I. Inkizhinov,2272,0.0,after a runin with the law a mongolian man becomes a fugitive and joins the russian civil war,neutral
"Steamboat Bill , Jr .",1928,70.0,Action Comedy Drama            ,Not Rated,7.8,effete son cantankerous riverboat captain come join father 's crew .,"Charles Reisner, Buster Keaton",Buster Keaton,15870,0.0,the effete son of a cantankerous riverboat captain comes to join his fathers crew,neutral
Passion Joan Arc,1928,114.0,Biography Drama History            ,Passed,8.1,"1431 , Jeanne d'Arc placed trial charge heresy . ecclesiastical jurist attempt force Jeanne recant claim holy vision .",Carl Theodor Dreyer,Maria Falconetti,59389,0.02,in 1431 jeanne darc is placed on trial on charges of heresy the ecclesiastical jurists attempt to force jeanne to recant her claims of holy visions,neutral
October ( Ten Days Shook World ),1927,95.0,Drama History            ,R,7.4,"large-scale view event 1917 Russia , monarchy overthrown .","Grigoriy Aleksandrov, Sergei Eisenstein",Boris Livanov,8338,0.0,a largescale view on the events of 1917 in russia when the monarchy was overthrown,neutral
Last Command,1928,88.0,Drama History Romance            ,Not Rated,8.0,former Imperial Russian general cousin Czar end Hollywood extra movie directed former revolutionary .,Josef von Sternberg,Emil Jannings,4412,0.0,a former imperial russian general and cousin of the czar ends up in hollywood as an extra in a movie directed by a former revolutionary,low positive
Docks New York,1928,76.0,Crime Drama Film-Noir            ,Not Rated,7.5,blue-collar worker New York 's depressed waterfront find life changed save woman attempting suicide .,Josef von Sternberg,George Bancroft,4934,0.0,a bluecollar worker on new yorks depressed waterfront finds his life changed after he saves a woman attempting suicide,low positive
Crowd,1928,98.0,Drama Romance            ,Not Rated,8.1,"life man woman together large , impersonal metropolis hope , struggle , downfall .",King Vidor,Eleanor Boardman,8973,0.0,the life of a man and woman together in a large impersonal metropolis through their hopes struggles and downfalls,low positive
Circus,1928,72.0,Comedy Family Romance            ,Passed,8.1,Tramp find work girl dream circus .,Charles Chaplin,Charles Chaplin,35578,0.0,the tramp finds work and the girl of his dreams at a circus,neutral
Wings,1927,144.0,Drama Romance War            ,PG-13,7.5,"Two young men , one rich , one middle class , love woman , become fighter pilot World War .","William A. Wellman, ""Harry dAbbadie dArrast""",Clara Bow,14157,6.59,two young men one rich one middle class who are in love with the same woman become fighter pilots in world war i,low positive
Unknown,1927,68.0,Drama Horror Romance            ,Unrated,7.7,criminal run hide circus seek posse daughter ringmaster cost .,Tod Browning,Lon Chaney,8854,0.41,a criminal on the run hides in a circus and seeks to possess the daughter of the ringmaster at any cost,low negative
Sunrise,1927,94.0,Drama Romance            ,Passed,8.1,"sophisticated city woman seduces farmer convinces murder wife join city , end rekindling romance wife change mind last moment .",F.W. Murnau,George OBrien,53250,0.54,a sophisticated city woman seduces a farmer and convinces him to murder his wife and join her in the city but he ends up rekindling his romance with his wife when he changes his mind at the last moment,low positive
7th Heaven,1927,110.0,Drama Romance            ,R,7.6,"street cleaner save young woman 's life , pair slowly fall love war intervenes .",Frank Borzage,Janet Gaynor,4035,3.92,a street cleaner saves a young womans life and the pair slowly fall in love until war intervenes,low positive
Napoleon,1927,330.0,Biography Drama History            ,R,8.2,film French general 's youth early military career .,Abel Gance,Albert Dieudonn,8581,0.0,a film about the french generals youth and early military career,neutral
Metropolis,1927,153.0,Drama Sci-Fi            ,Not Rated,8.3,"futuristic city sharply divided working class city planner , son city 's mastermind fall love working-class prophet predicts coming savior mediate difference .",Fritz Lang,Brigitte Helm,182678,1.24,in a futuristic city sharply divided between the working class and the city planners the son of the citys mastermind falls in love with a workingclass prophet who predicts the coming of a savior to mediate their differences,low positive
Kid Brother,1927,82.0,Comedy Drama Family            ,Passed,7.6,sheriff 's milquetoast son chance prove medicine show run con artist come town .,"Ted Wilde, Harold Lloyd, Lewis Milestone, J.A. Howe",Harold Lloyd,4753,1.55,a sheriffs milquetoast son has a chance to prove himself when a medicine show run by con artists comes into town,neutral
Show People,1928,83.0,Comedy Romance            ,Passed,7.6,young lady Georgia go Hollywood hope becoming actress .,King Vidor,Marion Davies,3960,1.1,a young lady from georgia goes to hollywood in the hopes of becoming an actress,low positive
Street Scene,1931,80.0,Drama Romance            ,Passed,7.6,Twenty-four hour elapse stoop Hell 's Kitchen tenement microcosm American melting pot interconnects summer heatwave .,King Vidor,Sylvia Sidney,2003,0.0,twentyfour hours elapse on the stoop of a hells kitchen tenement as a microcosm of the american melting pot interconnects during a summer heatwave,neutral
Patsy,1928,78.0,Comedy Drama Romance            ,Not Rated,7.5,awkward teenager hopelessly love older sister 's boyfriend try make notice .,King Vidor,Marion Davies,2743,0.0,an awkward teenager hopelessly in love with her older sisters boyfriend tries to make him notice her,low negative
La Bohème,1926,95.0,Drama Romance            ,Passed,7.2,"group starving artist try survive 1830s Paris , including seamstress would-be playwright love .",King Vidor,Lillian Gish,1650,1.01,a group of starving artists try to survive in 1830s paris including a seamstress and the wouldbe playwright she loves,neutral
Kino Eye,1924,78.0,Documentary            ,Not Rated,6.9,"documentary promoting joy life Soviet village center around activity Young Pioneers . child constantly busy , pasting propaganda poster wall , ... See full summary »",,Dziga Vertov,1177,0.0,this documentary promoting the joys of life in a soviet village centers around the activities of the young pioneers these children are constantly busy pasting propaganda posters on walls                see full summary »,low positive
,1931,99.0,Crime Mystery Thriller            ,Passed,8.3,"police German city unable catch child-murderer , criminal join manhunt .",Fritz Lang,Peter Lorre,166016,0.03,when the police in a german city are unable to catch a childmurderer other criminals join in the manhunt,low negative
Le Million,1931,91.0,Comedy Musical            ,Not Rated,7.4,impoverished painter rival engage race across Paris recover jacket concealing winning lottery ticket .,René Clair,Annabella,3785,0.0,an impoverished painter and his rival engage in a race across paris to recover a jacket concealing a winning lottery ticket,high positive
À Nous la Liberté,1931,83.0,Comedy Musical            ,Not Rated,7.4,"Seeking better life , two convict escape prison .",René Clair,Raymond Cordy,4894,0.0,seeking better life two convicts escape from prison,high positive
Smiling Lieutenant,1931,93.0,Comedy Musical Romance            ,Passed,7.2,"amorous lieutenant forced marry socially awkward princess , though try keep violin-playing girlfriend side .",Ernst Lubitsch,Maurice Chevalier,4069,0.0,an amorous lieutenant is forced to marry a socially awkward princess though he tries to keep his violinplaying girlfriend on the side,low negative
Tabu : Story South Seas,1931,86.0,Adventure Drama Romance            ,TV-PG,7.4,"South Pacific island Bora Bora , young couple 's love threatened tribal chief declares girl sacred virgin .",F.W. Murnau,Anne Chevalier,6294,0.0,on the south pacific island of bora bora a young couples love is threatened when the tribal chief declares the girl a sacred virgin,low positive
Blonde Venus,1932,93.0,Drama            ,Passed,7.1,cabaret singer take millionaire pay gravely-ill husband 's operation .,Josef von Sternberg,Marlene Dietrich,5506,0.0,a cabaret singer takes up with a millionaire to pay for her gravelyill husbands operation,neutral
Boudu Saved Drowning,1932,85.0,Comedy            ,Not Rated,7.2,"bookseller save tramp drowning shelter , tramp 's odd behavior start wear everyone .",Jean Renoir,Michel Simon,6101,0.0,a bookseller saves a tramp from drowning and shelters him but the tramps odd behavior starts to wear everyone down,low negative
Farewell Arms,1932,80.0,Drama Romance War            ,Unrated,6.4,American ambulance driver English nurse fall love Italy World War .,Frank Borzage,Gary Cooper,6634,0.0,an american ambulance driver and an english nurse fall in love in italy during world war i,low positive
Freaks,1932,64.0,Drama Horror            ,Not Rated,7.8,"circus ' beautiful trapeze artist agrees marry leader side-show performer , deformed friend discover marrying inheritance .",Tod Browning,Wallace Ford,49810,0.63,a circus beautiful trapeze artist agrees to marry the leader of sideshow performers but his deformed friends discover she is only marrying him for his inheritance,low positive
Grand Hotel,1932,112.0,Drama Romance            ,Not Rated,7.3,group different individual staying luxurious hotel Berlin deal respective drama .,Edmund Goulding,Greta Garbo,20546,2.69,a group of very different individuals staying at a luxurious hotel in berlin deal with each of their respective dramas,neutral
Horse Feathers,1932,68.0,Comedy Family Musical            ,Passed,7.5,"Quincy Adams Wagstaff , Huxley University 's new president , accidentally hire bumbler Baravelli Pinky help school win big football game rival , Darwin University .",Norman Z. McLeod,Groucho Marx,13213,0.0,quincy adams wagstaff huxley universitys new president accidentally hires bumblers baravelli and pinky to help his school win the big football game against their rival darwin university,low positive
Fugitive Chain Gang,1932,92.0,Crime Drama Film-Noir            ,Passed,8.2,"Wrongly convicted James Allen serf intolerable condition Southern chain gang , later come back haunt .",Mervyn LeRoy,Paul Muni,14233,1.42,wrongly convicted james allen serves in the intolerable conditions of a southern chain gang which later comes back to haunt him,low negative
Love Tonight,1932,104.0,Comedy Musical Romance            ,Passed,7.5,"Parisian tailor find posing baron order collect sizeable bill aristocrat , fall love aloof young princess .",Rouben Mamoulian,Maurice Chevalier,4562,0.0,a parisian tailor finds himself posing as a baron in order to collect a sizeable bill from an aristocrat only to fall in love with an aloof young princess,low positive
Old Dark House,1932,72.0,Adventure Comedy Drama            ,Passed,7.0,"Seeking shelter storm , five traveler bizarre terrifying night stumble upon Femm family estate .",James Whale,Boris Karloff,12726,0.03,seeking shelter from a storm five travelers are in for a bizarre and terrifying night when they stumble upon the femm family estate,low negative
Red Dust,1932,83.0,Comedy Drama Romance            ,Passed,7.2,owner rubber plantation becomes involved new wife one employee .,Victor Fleming,Clark Gable,4833,1.7,the owner of a rubber plantation becomes involved with the new wife of one of his employees,low positive
Scarface,1932,93.0,Action Crime Drama            ,PG,7.7,"ambitious nearly insane violent gangster climb ladder success mob , weakness prove downfall .","Howard Hawks, Richard Rosson",Paul Muni,29809,0.0,an ambitious and nearly insane violent gangster climbs the ladder of success in the mob but his weaknesses prove to be his downfall,low negative
Shanghai Express,1932,82.0,Adventure Drama Film-Noir            ,Approved,7.3,notorious woman ride train dangerous situation British captain loved .,Josef von Sternberg,Marlene Dietrich,10103,0.0,a notorious woman rides a train through a dangerous situation with a british captain she loved,low positive
Trouble Paradise,1932,83.0,Comedy Crime Romance            ,Passed,7.9,gentleman thief lady pickpocket join force con beautiful perfume company owner . Romantic entanglement jealousy confuse scheme .,Ernst Lubitsch,Miriam Hopkins,15919,1.04,a gentleman thief and a lady pickpocket join forces to con a beautiful perfume company owner romantic entanglements and jealousies confuse the scheme,low positive
Vampyr,1932,75.0,Fantasy Horror            ,Not Rated,7.4,drifter obsessed supernatural stumble upon inn severely ill adolescent girl slowly becoming vampire .,Carl Theodor Dreyer,Julian West,20187,0.0,a drifter obsessed with the supernatural stumbles upon an inn where a severely ill adolescent girl is slowly becoming a vampire,low negative
White Zombie,1932,69.0,Horror            ,Passed,6.2,"young man turn witch doctor lure woman love away fiancé , instead turn zombie slave .",Victor Halperin,Bela Lugosi,11488,0.0,a young man turns to a witch doctor to lure the woman he loves away from her fiancé but instead turns her into a zombie slave,low positive
Bitter Tea General Yen,1932,88.0,Drama Romance War            ,Approved,6.9,Chinese warlord engaged Christian missionary fall love .,Frank Capra,Barbara Stanwyck,4225,0.0,a chinese warlord and an engaged christian missionary fall in love,low positive
Dinner Eight,1933,111.0,Drama            ,Passed,7.5,"Affluent Millicent Oliver Jordan throw dinner handful wealthy and/or well-born acquaintance , much reveal .",George Cukor,Marie Dressler,8880,4.58,affluent millicent and oliver jordan throw a dinner for a handful of wealthy andor wellborn acquaintances each of whom has much to reveal,low positive
Duck Soup,1933,69.0,Comedy Musical            ,Not Rated,7.7,"Rufus T. Firefly named dictator bankrupt Freedonia declares war neighboring Sylvania love wealthy backer Mrs. Teasdale , contending two inept spy ca n't seem keep straight side 're .",Leo McCarey,Groucho Marx,62283,0.0,rufus t firefly is named the dictator of bankrupt freedonia and declares war on neighboring sylvania over the love of his wealthy backer mrs teasdale contending with two inept spies who cant seem to keep straight which side theyre on,low positive
Footlight Parade,1933,104.0,Comedy Musical Romance            ,Passed,7.5,"Chester Kent struggle time , romance , rival 's spy produce spectacular live `` prologue `` movie house .",Lloyd Bacon,James Cagney,5984,3.49,chester kent struggles against time romance and a rivals spy to produce spectacular live prologues for movie houses,low positive
42nd Street,1933,89.0,Comedy Drama Musical            ,Passed,7.3,"leading lady Broadway musical break ankle , replaced young unknown actress , becomes star show .",Lloyd Bacon,Warner Baxter,12851,2.3,when the leading lady of a broadway musical breaks her ankle she is replaced by a young unknown actress who becomes the star of the show,neutral
